DEBUG 2018-06-09 00:31:44,734 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
INFO  2018-06-09 00:31:59,342 [17   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/css/main.css  
INFO  2018-06-09 00:31:59,368 [20   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/font-awesome/css/font-awesome.css'. Physical path: 'B:\GitHub\PSIM\StudBaza\Web\src\WebFrontend.Web\wwwroot\lib\font-awesome\css\font-awesome.css'
INFO  2018-06-09 00:31:59,373 [12   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/toastr/toastr.css'. Physical path: 'B:\GitHub\PSIM\StudBaza\Web\src\WebFrontend.Web\wwwroot\lib\toastr\toastr.css'
INFO  2018-06-09 00:31:59,377 [22   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/famfamfam-flags/dist/sprite/famfamfam-flags.css'. Physical path: 'B:\GitHub\PSIM\StudBaza\Web\src\WebFrontend.Web\wwwroot\lib\famfamfam-flags\dist\sprite\famfamfam-flags.css'
INFO  2018-06-09 00:31:59,385 [18   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/sweetalert/dist/sweetalert.css'. Physical path: 'B:\GitHub\PSIM\StudBaza\Web\src\WebFrontend.Web\wwwroot\lib\sweetalert\dist\sweetalert.css'
INFO  2018-06-09 00:31:59,389 [17   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/main.css'. Physical path: 'B:\GitHub\PSIM\StudBaza\Web\src\WebFrontend.Web\wwwroot\css\main.css'
INFO  2018-06-09 00:31:59,481 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 209.651ms 200 text/css
INFO  2018-06-09 00:31:59,491 [24   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 130.8335ms 200 text/css
INFO  2018-06-09 00:31:59,553 [11   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 250.3792ms 200 text/css
INFO  2018-06-09 00:31:59,559 [22   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 209.6097ms 200 text/css
INFO  2018-06-09 00:31:59,585 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/moment/min/moment-with-locales.js  
INFO  2018-06-09 00:31:59,612 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 210.1321ms 200 text/css
INFO  2018-06-09 00:31:59,617 [18   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/moment/min/moment-with-locales.js'. Physical path: 'B:\GitHub\PSIM\StudBaza\Web\src\WebFrontend.Web\wwwroot\lib\moment\min\moment-with-locales.js'
INFO  2018-06-09 00:31:59,677 [23   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 250.3193ms 200 text/css
INFO  2018-06-09 00:31:59,747 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/bootstrap/dist/js/bootstrap.js  
INFO  2018-06-09 00:31:59,767 [24   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery-validation/dist/jquery.validate.js  
INFO  2018-06-09 00:31:59,782 [11   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/blockUI/jquery.blockUI.js  
INFO  2018-06-09 00:31:59,795 [23   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/json2/json2.js  
INFO  2018-06-09 00:31:59,834 [22   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/jquery/dist/jquery.js  
